0	1	2
TC#	Name	Organismal Type
3.A.1.144.1	Functionally uncharacterized ABC2 transporter #1.  This system is encoded by two genes that overlap and are therefore probably translationally coupled; they are in the same operon with the genes for 2.A.1.144.2.	Archaea
3.A.1.144.2	Functionally uncharacterized ABC2 transporter #2.   This system is encoded by two genes that overlap and are therefore probably translationally coupled; they are in the same operon with the genes for 2.A.1.144.1.	Archaea
3.A.1.144.3	Functionally uncharacterized ABC2 transporter #3.	%u03B4-Proteobacteria
3.A.1.144.4	Functionally uncharacterized ABC2 transporter #4 of 751 aas with 18 putative TMSs.  The first 6 TMSs are duplicated to give the N-terminal 12 TMSs.  The last 6 TMSs are non-homologous and are of the DUF95 family (TC #9.B.98) which may consist of ABC exporter auxiliary subunits/domains.	Chloroflexi
TC#	Name	Organismal Type
3.A.1.145.1	ABC2 transporter domain fused to an aminopeptidase N domain (Peptidase M1 family) of 1200 aas with 13 putative N-terminal TMSs.	δ-proteobacteria
3.A.1.145.2	Putative ABC2 permease of 529 aas and 12 TMSs, Glr0437.	Cyanobacteria
3.A.1.145.3	ABC2 fusion protein of 1194 aas and 13 putative TMSs.  Annotated as ABC transporter involved in multi-copper enzyme maturation; permease component.	Bacteroidetes
3.A.1.145.4	Putative ABC2 protein of 537 aas and 14 putative TMSs	Archaea
3.A.1.145.5	Uncharacterized ABC membrane transport protein of 222 aas and 6 TMSs.	UP of Candidatus Wolfebacteria bacterium
TC#	Name	Organismal Type
3.A.1.146.1	The probable actinorhodin (ACT) and undecylprodigiosin (RED) exporter (Lee et al. 2012), AreABCD (Sco3956-9).	Actinobacteria
3.A.1.146.2	Putative ABC exporter, Isop2111-Isop2114	Planctomycetes
3.A.1.146.3	Putative four component ABC exporter with two membrane proteins and two ABC ATPases.	Putative ABC porter of Candidatus Heimdallarchaeota archaeon LC_3 (marine sediment metagenome)
TC#	Name	Organismal Type
3.A.1.147.1	Putative two component ABC exporter with a membrane protein of 573 aas and 12 TMSs and an ATPase encoded adjacent to the membrane protein and also adjacent to a gene encoding an adenine glycosylase, probably within a single operon.	Gemmatimonadetes
3.A.1.147.10	Uncharacterized protein of 627 aas and 12 TMSs	Firmicutes
3.A.1.147.2	Putative 2-component sporulation-related ABC exporter.  The genes encoding this system are adjacent to a spore germination receptor (TC# 2.A.3.9.5) and a putative signalling molecule transporter (2.A.86.1.11).	Firmicutes
3.A.1.147.3	Putative two component ABC exporter with the membrane protein having 623 aas and 12 TMSs.	Planctomycetes
3.A.1.147.4	Putative two component ABC exporter with a membrane protein of 537 aas and 12 TMSs.	Firmicutes
3.A.1.147.5	Putative 2 component ABC exporter with a membrane protein of 569 aas and 12 TMSs.	Firmicutes
3.A.1.147.6	Putative two component ABC exporter. There are 78 ABC systems including 28 importers and 50 exporters. Based on NBD sequence similarity, ABC transporters in C. difficile were classified into 12 sub-families according to their substrates (Pipatthana et al. 2021). All ABC exporters, accounting for 64% of the total ABC systems, may be involved in antibiotic resistance.	Firmicutes
3.A.1.147.7	Putative ABC transporter with a membrane protein of 582 aas and 11 TMSs.	Firmicutes
3.A.1.147.8	Putative ABC exporter with a membrane protein of 544 aas and 12 TMSs	Firmicutes
3.A.1.147.9	Putative ABC exporter	Euryarchaea
TC#	Name	Organismal Type
3.A.1.148.1	ABC lantibiotic NAI-107 immunity exporter, MlbYZ (Pozzi et al. 2015).	Actinobacteria
3.A.1.148.2	ABC transport system, PspY (264 aas)/PspZ (301 aas)	Actinobacteria
3.A.1.148.3	Uncharacterized ABC transporter	Chloroflexi
3.A.1.148.4	Uncharacterized ABC transporter, AbcYZ [Y (D2BBE4) = M with 6 TMSs; Z (D2BBE3)= C.]	Actinobacteria
TC#	Name	Organismal Type
3.A.1.149.1	ABC immunity system, TrnFG, protecting the bacteria from the bacteriocin, thuricin CD. TrnF is of 213 aas and 6 TMSs while TrnG is of 285 aas and 0 TMSs.  A 79 aa protein, TrnI with 2 TMSs, also provides immunity against thuricin CD, but the mechanism is unknown (Mathur et al. 2014). These proteins incoded in the thuricin operon.	TrnFG of Bacillus thuringiensis
3.A.1.149.2	Uncharacterized two component ABC-2 transporter.	UP of Clostridium intestinaleU2PSG5, M, 216 aas, 6 TMSs in a 2 + 4 arrangementU2NJR5, C, ATPase of 290 aas
3.A.1.149.3	Putative 2 component ABC exporter.	Putative ABC exporterS7U3S6, M, 215 aas, 6 TMSs in a 2 + 4 arrangementS7U8X0, C, 285 aas, ATPase, ABC-2
TC#	Name	Organismal Type
3.A.1.15.1	Manganese (Mn2+) porter	Cyanobacteria
3.A.1.15.10	The Mn2+/Zn2+ transporter MntABC (KB of Mn2+ and Zn2+ is 0.1μM which bind with equal affinity to the same site (Lim et al., 2008)	Bacteria
3.A.1.15.11	The zinc uptake porter, YcdHI-YceA; AdcA/AdcC/AdcB (Gaballa et al., 2002).	Firmicutes
3.A.1.15.12	Metal ion (probably iron) uptake permease , YtgABC-RD. The third gene in the ytg operon is fused, the N-terminal membrane domain being fused to the C-terminal transcriptional regulator homologous to the diphtheria toxin repressor, DtxR. These two domains may be proteolitically processed yielding the two active proteins (Thompson et al. 2012).	Chlamydiae
3.A.1.15.13	The ZnuA18/ZnuA08/ZnuB/ZnuC zinc (Zn2+) uptake system (Hudek et al. 2013).  ZnuB (M) and ZnuC (C) can function with either of two zinc ion receptors, ZnuA18 (R) which is encoded in the znuACB operon, and ZnuA08 (R) which is encoded elsewhere on the chromosome.  ZnuA18 is more efficient that ZnuA08 in promoting uptake (Hudek et al. 2013).	Cyanobacteria
3.A.1.15.14	"High affinity Mn2+ uptake complex, PsaABC (Lisher et al. 2013). The crystal structure of the manganese transporter PsaBC from Streptococcus pneumoniae has been solved in an open-inward conformation (Neville et al. 2021). The type II transporter has a tightly closed transmembrane channel due to ""extracellular gating"" residues that prevent water permeation and ion reflux. Below these residues, the channel contains a metal coordination site, which is essential for manganese translocation. Mutagenesis of the extracellular gate perturbs manganese uptake, while coordination site mutagenesis abolishes import. These structural features are well conserved in metal-specific ABC transporters and are represented throughout the kingdoms of life. Collectively, these results define the structure of PsaBC and reveal the features required for divalent cation transport (Neville et al. 2021)."	Firmicutes
3.A.1.15.15	High affinity Mn2+ uptake complex, MntABC.  The 3-d structure of MntC has been  solved to 2.2Å resolution (Gribenko et al. 2013).	Firmictues
3.A.1.15.16	ZnuABC Zinc/Manganese/iron uptake porter	ZnuABC of Leptospira sp.ZnuA (R) 345 aasZnuB (M) 275 aasZnuC C) 210 aas
3.A.1.15.17	ZnuABC Zinc/Manganese/Iron uptake porter	ZnuABC of Bdellovibrio bacteriovorusZnuA (R)ZnuB (M)ZnuC (C)
3.A.1.15.18	ABC high affinity Zinc (Zn2+) uptake porter, ZnuABC.  The similar system from Y. pestis has been characterized (Bobrov et al. 2014; Neupane et al. 2018). ZnuA (R) of that systems can bind up to 5 zinc ions with high affinity.	ZnuABC of Yersinia pseudotuberculosisZnuA, 318 aas, Q66AT6ZnuB, 261 aas, Q66AT8ZnuC, 253 aas, Q66AT7
3.A.1.15.19	Zinc ion ABC uptake system, AztABCD, where AztD is a periplasmic chaparone protein that feeds Zn2+ into AztC, the periplasmic receptor/binding protein for the transporter (Neupane et al. 2018).	AztABCD of Paracoccus denitrificans AztA, 309 aas, R, (A1B2F3)AztB, 288 aas, 9 TMSs, M, (A1B2F2)AztC. 263 aas, C, (A1B2F1)AztD, 408 aas, Periplasmic chaparone (A1B2F4)
3.A.1.15.2	Manganese (Mn2+) and zinc (Zn2+) porter	Firmicutes
3.A.1.15.20	ABC uptake transporter specific for Mn2+ and Fe2+, SloABC (Paik et al. 2003). The system is repressed by Mn2+ together with the SloR repressor, encoded by a gene downstream of sloABC.	SloABC of Streptococcus mutans
3.A.1.15.21	Mn2+ ABC uptake system, MntABC. Titratable transmembrane residues and a hydrophobic plug are essential for manganese import via the Bacillus anthracis ABC transporter MntBC-A (Kuznetsova et al. 2021). Zinc is a high-affinity inhibitor. The transmembrane metal permeation pathway is lined with six titratable residues that can coordinate the positively charged metal, and mutagenesis studies showed that they are essential for manganese transport. Modelling suggested that access to these titratable residues is blocked by a ladder of hydrophobic residues, and ATP-driven conformational changes open and close this hydrophobic seal to permit metal binding and release. The conservation of this arrangement of titratable and hydrophobic residues among ABC transporters of transition metals suggests a common mechanism (Kuznetsova et al. 2021).	MntABC of Bacillus cereusMntA, R, 311 aas, 1 N-terminal TMSs, Q4V0W6MntB, C, 249 aas, 0 TMSs, Q4V0W4MntC, M, 288 aas, 7 TMSs, Q4V0W5
3.A.1.15.3	Zinc (Zn2+) porter, AdcABC/AII	Firmicutes
3.A.1.15.4	Iron and manganese porter	Proteobacteria
3.A.1.15.5	Zinc (Zn2+) porter of E. coli, ZnuABC.  Required for Zn2+ homeostasis and virulence in the close E. coli relative, Salmonella enterica (Ammendola et al., 2007).	Proteobacteria
3.A.1.15.6	Iron (Fe2+)/Zinc (Zn2+)/Copper (Cu2+) porter	Firmicutes
3.A.1.15.7	Manganese (Mn2+) (Km=0.1 μM) and iron (Fe2+) (5 μM) porter (inhibited by Cd2+ > Co2+ > Ni2+, Cu2+) (most similar to YfeABCD of Yersinia pestis (TC #3.A.1.15.4)). Important for virulence in Salmonella (Karlinsey et al., 2010).	Proteobacteria
3.A.1.15.8	Manganese (Mn2+), zinc (Zn2+) and possibly iron (Fe2+) uptake porter, TroABCD (Hazlett et al., 2003).  Transcription of the operon is controlled by the Mn2+-activated (not Zn2+- or Fe2+-activated) repressor, TroR (153 aas, acc# F7IW50;) TroR contains a metal-binding domain homologous to the YtgC-R protein (3.A.1.15.12) which has the membrane domain of this ABC transporter (N-terminus) fused to the repressor domain (C-terminus) (Liu et al. 2013).  TroA (Tromp1), the periplasmic metal binding protein, was originally reported to be an outer membrane porin (Zhang et al. 1999), but this proved to be incorrect.	Spirochaetes
3.A.1.15.9	Manganese (Mn2+) and Iron (Fe2+) porter, SitABCD (Davies and Walker, 2007)	Bacteria
TC#	Name	Organismal Type
3.A.1.150.1	Putative ABC transporter consisting of an ATPase and three membrane proteins having 4, 10 and 2 TMSs, respectively.  The structure of the ATPase is similar to those of ABC transorteers, and expression is down regulated in response to cold shock (Gerwe et al. 2007).	Putative ABC transporter of Pyrococcus furiosus
3.A.1.150.2	Putative ABC transporter consisting of an ATPase and 3 membrane proteins having 4, 10 and 2 TMSs.	Putative ABC transporter of Pyrococcus furiosus
TC#	Name	Organismal Type
3.A.1.151.1	3-component putative ABC transporter with two membrane proteins and an ATPase. These three genes are adjacent to a gene encoding a DegV domain-containing protein, a fatty acid binding domain, also found in PTS mannose EIIA proteins (TC# 4.A.6) and dihydrolyacetone kinases (Schulze-Gahmen et al. 2003; Kinch et al. 2005; Nan et al. 2009).	Putative ABC transporter of Halothermothrix orenii
3.A.1.151.2	Putative 3-compenent ABC transporter consisting of two membrane proteins and a cytoplasmic ATPase.  Adjacent to genes coding for a MoaJ/NirJ iron-sulfur nitrite-like oxidoreductase and an antilisterial bacteriocin biosynthetic enzyme, AlbA (B5YBB2 and 3, respectively).  The system could be a bacteriocin exporter.	ABC transporter of Dictyoglomus thermophilumB5YBA9, M, 186 aas and 6 TMSs (may be N-terminally truncated)B5YBB0, M, 223 aas and 6 TMSs (both in a 2 + 4 arrangement)BSYBB1, C, 239 aas, ATPase
TC#	Name	Organismal Type
3.A.1.152.1	"LPS export system, LptF (M), LptG (M) and LptB (C).  This system is also listed in TCDB under TC#1.B.42.1.2 as part of a multicomponent system.  The entire system is described in detail there. LptB2FG extracts LPSs from the IM and transports them to the outer membrane. Luo et al. 2017 reported the crystal structure of nucleotide-free LptB2FG from P. aeruginosa.
 It shows that LPS transport proteins LptF and LptG each contain a TM 
domain (TMD), a periplasmic beta-jellyroll-like domain and a coupling 
helix that interacts with LptB on the cytoplasmic side. The LptF and 
LptG TMDs form a large outward-facing V-shaped cavity in the IM. 
Mutational analyses suggested that LPS may enter the central cavity 
laterally, via the interface of the TMD domains of LptF and LptG, and is
 expelled into the beta-jellyroll-like domains upon ATP binding and 
hydrolysis by LptB. These studies suggest a mechanism for LPS extraction
 by LptB2FG that is distinct from those of classical ABC transporters that transport substrates across the IM (Luo et al. 2017). LptB2FG extracts LPS from the periplasmic face of the IM through a pair of lateral gates and then powers transperiplasmic transport to the OM through a slide formed by either of the periplasmic domains of LptF or LptG, LptC, LptA and the N-terminal domain of LptD. The structural and functional studies of the seven lipopolysaccharide transport proteins provide a platform to explore the unusual mechanisms of LPS extraction, transport and insertion from the inner membrane to the outer membrane (Dong et al. 2017). LptB2 binds novobiocin which stimulates its export activity and renders the membrane more impermeable to novobiocin (May et al. 2017)."	LptFGB2 of Pseudomonas aeruginosaLptF, M, Q9HXH4, 375 aas, 6 TMSsLptG, M, Q9HXH5, 354 aas, 6 TMSsLptB, C, Q9HVV6, 241 aas, ATPase
3.A.1.152.10	Probable LptF/G or YjgP/Q membrane proteins of an ABC exporter, possibly specific for a lipopolysaccharide.  Adjacent genes code for proteases/peptidases.  An ATPase that energizes this system has not been identified. The two membrane proteins are of 360 and 380 aas with 6 TMSs in a 3 + 3 TMS arrangement, separated by a large hydrophilic loop. Members of this family often work together with outer membrane proteins of TC family 1.B.42, and some of these outer membrane proteins are fused to one of the subunites of these systems.	LptF/G of Candidatus Pelagibacter sp. (marine metagenome)
3.A.1.152.2	Putative ABC exporter of the YjgP/Q (LptFG) family.  The membrane protein has 772 aas and 12 TMSs in a (3 + 3)2 duplicated topology.  The gene adjacent to this membrane protein gene encodes an ABC1 ATPase of 583 aas and 6 N-terminal TMSs with a C-terminal ATPase domain. Most ATPases of family 3.A.1.152 are of the ABC2-type. Thus, it is unlikely that this protein serves to energized the YjgP/Q-dependent transport process. This protein is in TCDB with TC# 3.A.1.106.17.	Putative ABC transporter of Acidobacterium ailaaui
3.A.1.152.3	Uncharacterized ABC system of the YjgP/Q family; the two membrane proteins are encoded by adjacent genes, but the gene for the ATPase was not found.  However, a soluble OstA homologue (Q5SL97) of 824 aas is encoded adjacent to the two membrane protein-encoding genes.	UP of Thermus thermophilus
3.A.1.152.4	Uncharacterized YjgP/YjgQ family homologue of 441 aas and 6 TMSs. No other YjgP homologue and no ATPase is encoded adjacent to the gene encoding this protein.	UP of Chlorobium phaeovibrioides (Prosthecochloris vibrioformis)
3.A.1.152.5	Uncharacterized YjgP/Q homologue of 266 aas and 6 TMSs. No ATPase or another YjgP homologue is encoded by a gene adjacent to this one.	YjgP homologue of Leptonema illini
3.A.1.152.6	YjgP/Q homologue of 584 aas an 8 TMSs in a 2 + 3 +3 arrangement.	YjgP homologue of Bizionia argentinensis
3.A.1.152.7	YjgP/Q family protein of 392 aas and 6 TMSs	YjgP homologue of Gimesia maris
3.A.1.152.8	Uncharacterized YgjP homologue of 585 aas and 6 TMSs; the central hydrophilic domain is 350 aas long, about twice that of many of the homologues.  It might be duplicated.	YgjP homologue of Niabella soli
3.A.1.152.9	Lipopolysaccharide transporter that exports LPS from the external surface of the cytoplasmic membrane to the outer membrane, LptB2FG. The 134-kDa protein complex is unique among ABC transporters because it extracts lipopolysaccharide from the external leaflet of the inner membrane and propels it along a filament that extends across the periplasm to directly deliver lipopolysaccharide into the external leaflet of the outer membrane. Dong et al. 2017 reported the crystal structure of this transporter in which both LptF and LptG are composed of a beta-jellyroll-like periplasmic domain and six TMSs. LptF and LptG together form a central cavity containing highly conserved hydrophobic residues. Structural and functional studies suggest that LptB2FG uses an alternating lateral access mechanism to extract lipopolysaccharide and traffic it along the hydrophobic cavity toward the transporter's periplasmic domains. The structure has been presented by Dong et al. 2017. LPS transport involves long-ranging bi- directional coupling across cellular compartments between cytoplasmic LptB and periplasmic regions of the Lpt transporter (Lundstedt et al. 2020). LPS transport from the inner membrane (IM) to the OM is achieved by seven lipopolysaccharide transport proteins (LptA-G). LptB2FG, a type VI ABC transporter, forms a stable complex with LptC, extracts LPS from the IM and powers LPS transport to the OM. Luo et al. 2021 reported the cryo-EM structures of LptB2FG and LptB2FGC from Klebsiella pneumoniae in complex with LPS. The LptB2FG-LPS structure provides detailed interactions between LPS and the transporter, while the LptB2FGC-LPS structure may represent an intermediate state in which the transmembrane helix of LptC has not been fully inserted into the transmembrane domains of LptB2FG (Luo et al. 2021).	LptB2FG of Klebsiella pneumoniae LptB, 241 aas; 0 TMSs, A6TEM0LptF, 365 aas, 6 TMSs, A6THI3LptG, 360 aas, 6 TMSs, A6THI4
TC#	Name	Organismal Type
3.A.1.153.1	"ABC transporter complex YtrBCD that may play a role in acetoin utilization during stationary phase and sporulation (Yoshida et al. 2000). Expression is induced early in the stationary phase. The six ytr  genes form a single operon, transcribed from a promoter present upstream of ytrA. YtrA, which 
possesses a helix-turn-helix motif of the GntR family, may be a
 repressor that regulates its own transcription as well as the whole operon. Inactivation of the 
operon led to a decrease in the maximal cell yield and less-efficient 
sporulation. B. subtilis produces acetoin as 
an external carbon storage compound and then reuses it later during 
stationary phase and sporulation. Possibly the Ytr porter plays a role (Yoshida et al. 2000). The YtrEF system, believed to be a distinct ABC efflux system (M. Saier, unpublished results), can be found under TC# 3.A.1.122.19."	YtrBCD of Bacillus subtilisYtrB, 292 aas (C)YtrC, 328 aas (M)YtrD, 325 aas (M)
3.A.1.153.2	Putative ABC acetoin exporter, ABC-2-like protein (M) plus ATPase (C).	ABC porter of Bacillus thuringiensisABC2-2-like protein of 375 aas and 8 TMSs (A0RI83)BAC-type ATPase of 298 aas (A0RI82)
TC#	Name	Organismal Type
3.A.1.154.1	Uncharacterized protein	Actinobacteria
3.A.1.154.2	Uncharacterized protein of 316 aas and 6 TMSs.	UP of Hoyosella subflava (Amycolicicoccus subflavus)
3.A.1.154.3	Uncharacterized protein of 353 aas and 5 or 6 TMSs.	UP of Gordonia alkanivorans
3.A.1.154.4	Uncharacterized protein of 12 TMSs in a 1 + 5 + 1 +5 arrangement.  TMSs 5 and 6 as well as 11 and 12 are separated by about 30 - 50 residues.	UP of Mycobacterium abscessus
TC#	Name	Organismal Type
3.A.1.155.1	"The phage infection protein of 901 aas, PIP (Geller et al. 1993). The PIP family (3.A.1.155) includes large proteins with 1 N-terminal hydrophobic 
TMS, a hydrophilic domain of variable length, and 5 C-terminal putative 
TMSs.  The functionally characterized protein from Lactococcus lactis is of 901 aas (Geller et al., 1993).  Homologues obtained with one PSI-BLAST iteration include members of the MmpL family of the RND superfamily (e.g., a Bacillus protein, gi#89208076; 1038 aas).  With poorer scores, a protein 
annotated as an ABC-2-like sequence (gi#89200681; 392 aas with 1 TMS 
followed by a 150 residue hydrophilic domain followed by a C-terminal 5 
putative TMSs) was retrieved.  Another protein annotated as ABC-2 was 
smaller with 6 putative TMSs in a 2 + 3 + 1 arrangement (gi#57234453; 
241 aas). The hydrophilic domain in these proteins may show sequence similarity with the large periplasmic hydrophilic domains of RND porters (2.A.6.1 - 9)."	Bacteria
3.A.1.155.2	The putative ABC-2-like protein of 678 aas (topology-like PIP)	Bacteria
3.A.1.155.3	Uncharacterized protein YhgE (ORFB)	Bacilli
3.A.1.155.4	X(3)LX(2)G heptad repeat protein of 779 aas	Firmicutes
3.A.1.155.5	Uncharacterized YhgE/Pip domain-containing protein of 432 aas and 6 TMSs.	UP of Streptomyces himastatinicus
3.A.1.155.6	Uncharacterized protein of 499 aas and 7 putative TMSs in a 1 + 5 + 1 TMS arrangement.  This protein may interrelate 9.B.74 and 2.A.6.10 (subfamily) which may NOT belong to the RND superfamily.	UP of Dietzia alimentaria
3.A.1.155.7	YhfE/Pip domain protein of 740 aas and 6 or 7 TMSs in a 1 + 5 or 6  arrangement.	YhfE protein of Gulosibacter molinativorax
3.A.1.155.8	The ABC-2-like protein of 392 aasBacteriaABC-2-like protein of Bacillus cereus (A7GKA4)	Bacteria
3.A.1.155.9	Uncharacterized protein of 397 aas and  6 TMSs in a 1 + 5 TMS arrangement	UP of Bacillus cereus
TC#	Name	Organismal Type
3.A.1.156.1	ABC transporter permease	ABC permease of Rubeoparvulum massiliense(M) 232 aas and 6 TMSs (WP_048600991.1)(C) 244 aas (WP_048600992.1)
3.A.1.156.2	ABC transporter with a membrane protein of 219 aas and 6 TMSs and an ATP-binding protein, YxlF, of 316 aas.	ABC-2 transporter of Lokiarchaeum sp.(M), 219 aas and 6 TMSs(C), 316 aa
3.A.1.156.3	ABC2 transporter of unknown substrate specificity with two membrane constituents and one ATPase.	Tricomponent ABC exporter of Bacillus licheniformisM1, 170 aas and 5 TMSs, ARC67021M2, 212 aas and 5 TMSs, ARC67023C, ATPase, YxlF, 307 aas, ARC67024
3.A.1.156.4	Two component ABC transporter with one M subunit and one C subunit.	ABC transporter of Clostridioides difficile
TC#	Name	Organismal Type
3.A.1.157.1	Putative ABC3 porter with a 10 TMS membrane protein and an ATPase.  This system is encoded by genes that are adjacent to those encoding 3.A.1.207.7 and 3.A.1.207.9. It is not known if these three systems are distinct or function somehow together.	ABC3 porter of Candidatus Heimdallarchaeota archaeon LC_3 (marine sediment metagenome)
3.A.1.157.1	"Putative ABC3 porter with a 10 TMS membrane 
protein and an ATPase. This system is encoded by genes that are 
adjacent to those encoding 3.A.1.207.7 and 3.A.1.207.9. It is not known 
if these three systems are distinct or function somehow together."	ABC3 porter of Candidatus Heimdallarchaeota archaeon LC_3 (marine sediment metagenome)
3.A.1.157.2	Putative ABC3-type porter of 956 aas with 10 TMSs in a 1 + 3 + 2 + 1 + 3 TMS arrangement. Two ABC-type ATPases are encoded by genes adjacent to the membrane protein, and on the other side is encoded a membrane protein of 509 aas with two TMSs, one N-termnal, and one C-terminal. This last protein is included here because if could be an auxilliary protein of the ABC exporter.	ABC3-type exporter of Candidatus Heimdallarchaeota archaeon LC_3 (marine sediment metagenome)
3.A.1.157.3	Putative ABC3 transporter of two constituents	ABC3 porter of Candidatus Heimdallarchaeota archaeon
TC#	Name	Organismal Type
3.A.1.158.1	Uncharacterized ABC-type exporter possibly with 4 protein components, all of which are encoded by genes that map adjacent to each other, YybMLKJ.  The proteins of this system are distantly related to members of ABC families 3.A.1.124, 132, 146 and 157.	YybJKLM of Bacillus subtilisYybJ, C, 218 and 0 TMSsYybK, M, 251 aas and 6 TMSsYybL, M, 236 aas and 6 TMSsYybM, M, 251 aas and 6 TMSs
3.A.1.158.2	Putative ABC-type multidrug transport system with 3 protein components.	BAC porter with three componentsABC-A, M, 264 aas and 6 TMSsABC-B, M, 287 aas and 6 TMSsABC-C, C, 220 aas and 0 TMSs
3.A.1.158.3	ABC exporter of three protein components	ABC exporter of Clostridium beijerinckii (Clostridium acetobutylicum)ABC-A, M, 6 TMSs, A6LQ39ABC-B, M, 6 TMSs, A6LQ40ABC-C, C, 0 TMSs, A6LQ41
3.A.1.158.4	Putative 4 component ABC system with 3 membrane proteins, all with 6 TMSs, and one ATPase, all encoded by genes that are adjacent to each other.	"Putative 4 component ABC exporter of Lachnospiraceae bacterium (gut metagenome)
HCO29007, M, 6 TMSsHCO29006, M, 6 TMSsHCO29005, M, 6 TMSsHCO29004, C, ATPase, 0 TMSs"
3.A.1.158.6	ABC-2 type transport system with three 6 TMS membrane proteins (M) and one ATP-binding protein (C).	ABC2 system of Murimonas intestiniPWJ78148, MPWJ78149, MPWJ78150, MPWJ78151, C
TC#	Name	Organismal Type
3.A.1.16.1	Four component nitrate/nitrite porter (Kikuchi et al. 1996).  It's synthesis occurs in response to nitrite, not nitrate in a nitrate reductase mutant (Kikuchi et al. 1996).	Cyanobacteria
3.A.1.16.2	Bispecific cyanate/nitrite transporter (functions in both cyanate and nitrite assimilation; Maeda and Omata, 2009).CyanobacteriaCynABD of Synechococcus PCC7942  CynA (R) CynB (M) CynD (C)	Cyanobacteria
3.A.1.16.3	Bicarbonate porter (activated by low [CO2] mediated by CmpR; (Nishimura et al., 2008))	Cyanobacteria
3.A.1.16.4	Nitrate uptake system, NrtABCD (Frías et al., 1997). Molecular interactions within the nitrate uptake system of Anabaena PCC7120 have been reported (but are a bit confusing) (Swapnil et al. 2021).	Cyanobacteria
TC#	Name	Organismal Type
TC#	Name	Organismal Type
TC#	Name	Organismal Type
3.A.1.17.1	Taurine (2-aminoethane sulfonate) porter	Proteobacteria
3.A.1.17.10	Aliphatic sulfonate (alkanesulfonate) import permease, SsuABC (YcbOEM) and is regluated by the transcriptional activator, Cbl (van Der Ploeg et al. 1999; Eichhorn and Leisinger 2001).	Proteobacteria
3.A.1.17.11	"Putative ABC transporter specific for riboflavin, RibXYZ. RibY is called ""NMT1/THI5 like domain protein"" (Anderson et al. 2015)."	Riboflavin transporter, RibXYZ, of Thermobaculum terrenumRibY, 1 N-terminal TMS; R (D1CEG8)RibX, 7 TMSs, M (D1CEG9)RibZ, unknown
3.A.1.17.12	Sulfonate and sulfonate ester uptake transporter, SsuABC (Koch et al. 2005).	SsuABC of Corynebacterium glutamicumSsuA (R)SsuB (C)SsuC (M)
3.A.1.17.13	Putative thiamine (vitamin B1)-specific transporter, ThiXYZ (Rodionova et al. 2015).	ThiXYZ of Chloroflexus aurantiacusThiX, (M, 5 TMSs) (A9WDS0)ThiY, (R, 1 TMS) (A9WDR9)ThiZ, (C, 0 TMSs) (A9WDR8)
3.A.1.17.14	Riboflavin uptake porter, RibXY (RibX, 168 aas and 6 TMSs; RibY, 351 aas) (Gutiérrez-Preciado et al. 2015).	RibXY of Chloroflexus aurantiacus
3.A.1.17.2	Aromatic sulfonate porter	Proteobacteria
3.A.1.17.3	Putative hydroxymethylpyrimidine transport system, ThiXYZ (Rodionov et al., 2002). Regulated by TPP (thiamin) riboswitch. Potentially takes up a pyrimidine moiety of thiamin.	Bacteria
3.A.1.17.4	The taurine uptake system, TauABC (Krejcík et al., 2008).	Proteobacteria
3.A.1.17.5	The phthalate uptake system, OphFGH (Chang et al. 2009).BacteriaOphFGH of Burkholderia capaciaOphF (R) (C0LZR7)OphG (M) (C0LZR8)OphH (C) (C0LZR9)	Bacteria
3.A.1.17.6	Putative hydroxymethylpyrimidine transport system, ThiXYZ (Rodionov et al., 2002). Regulated by TPP (thiamin) riboswitch. Potentially takes up a pyrimidine moiety of thiamin. ThiY is homologous to the yeast THI5 HMP-P synthase (P43534) (Bale et al., 2010).	Actinobacteria, Proteobacteria
3.A.1.17.7	Putative riboflavin transport system, RibXY. Regulated by an FMN riboswitch (Vitreschak et al. 2002).	Chloroflexi
3.A.1.17.8	Putative thiamine transport system, ThiXYZ (Rodionov et al., 2002). Regulated by TPP (thiamin) riboswitch.	Chloroflexi
3.A.1.17.9	Uncharacterized membrane protein of 733 aas and 12 TMSs. The other constituents of the system have not been identified.	Rhodophyta
TC#	Name	Organismal Type
3.A.1.18.1	Putative ECF transporter, EcfSTA; regulated by a cobalamin riboswitch.	Bacteria
3.A.1.18.2	Putative Co2+ ECF transporter, EcfSTA	Bacteria
3.A.1.18.3	Putative Co2+ ECF transporter, EcfSTA	Bacteria
TC#	Name	Organismal Type
3.A.1.19.1	Thiamin, thiamin monophosphate and thiamin pyrophosphate porter. The 2.25 Å structure of ThiB (TbpA) has been solved (Soriano et al., 2008).	Proteobacteria
3.A.1.19.2	The thiamine pyrophosphate (TPP) uptake porter (Bian et al., 2011).	Bacteria
3.A.1.19.3	ABC transporter of unknown function. The three genes encoding this system are adjacent to a gene homologous to a mycothiol maleylpyruvate isomerase.	Actinobacteria
3.A.1.19.4	The putative sulfate/thiosulfate transporter, YnjBCD. YnjB has 12 TMSs. The three genes encoding this system are adjacent to one encoding a thiosulfate:sulfur transferase or a rhodanese (B7L6N1).  Also considered to be a thiamine transporter (Moussatova et al. 2008).	γ-Proteobacteria
3.A.1.19.5	Putative ABC transporter, WtpB1/C1: molybdate/tungstate transport system.	Deinococcus-Thermus
